8.8,139.9,81.6,371.3,115.4,182.6,318.8,220.8,206.8,265
139.9,8.8,121.6,61.7,277.6,302.3,301.6,216.5,189.8,159.6
81.6,121.6,8.8,253.9,188.1,244,354.2,242.8,234.3,181.8
371.3,61.7,253.9,8.8,252.5,279.5,319.4,232.4,220.3,174.8
115.4,277.5,188.1,252.5,8.8,17.8,226.6,108.7,91.7,171.7
182.6,302.3,244,279.5,17.8,8.8,218.3,110.2,79,156.7
318.8,301.6,354.2,319.4,226.6,218.34,8.8,145.4,127.8,200.9
220.8,216.5,242.8,232.7,108.7,110.2,145.4,8.8,12.7,82.1
206.8,189.8,234.3,220.3,91.7,79,127.8,12.7,8.8,83.3
265,159.6,181.8,174.8,171,156.7,200.9,82.1,83.3,8.8
